
2024/05/07 (03:08:06) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/05/07 (03:08:06) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/05/07 (03:08:16) | ===> btop++ v.1.3.2
2024/05/07 (03:08:16) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/05/07 (03:08:16) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/05/07 (03:19:49) | ===> btop++ v.1.3.2
2024/05/07 (03:19:49) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/05/07 (03:19:49) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/05/07 (03:44:03) | ===> btop++ v.1.3.2
2024/05/07 (03:44:03) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/05/07 (03:44:03) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/05/07 (03:46:23) | ===> btop++ v.1.3.2
2024/05/07 (03:46:23) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/05/07 (03:46:23) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/05/07 (03:51:10) | ===> btop++ v.1.3.2
2024/05/07 (03:51:10) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/05/07 (03:51:10) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/05/07 (03:58:01) | ===> btop++ v.1.3.2
2024/05/07 (03:58:01) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/05/07 (03:58:01) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/05/07 (04:12:33) | ===> btop++ v.1.3.2
2024/05/07 (04:12:33) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/05/07 (04:12:33) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/05/07 (15:24:25) | ===> btop++ v.1.3.2
2024/05/07 (15:24:25) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/05/07 (15:24:25) | WARNING: NVML: Failed to get GPU power usage: Not Supported

